Vgg-LSH-cosine reusult: MAP&MMAP
Class Faces, MAP 0.9636015325670497
Class dollar_bill, MAP 0.9935897435897435
Class tick, MAP 0.9965986394557822
Class cannon, MAP 1.0
Class octopus, MAP 1.0
Class revolver, MAP 0.9939024390243902
Class flamingo, MAP 0.9651741293532337
Class okapi, MAP 0.9914529914529914
Class car_side, MAP 1.0
Class lotus, MAP 0.9873737373737372
Class brain, MAP 0.9914965986394557
Class rooster, MAP 0.9795918367346939
Class scorpion, MAP 0.984126984126984
Class yin_yang, MAP 0.9972222222222221
Class ketch, MAP 0.9766081871345029
Class pigeon, MAP 0.9888888888888889
Class helicopter, MAP 0.9791666666666665
Class snoopy, MAP 0.9809523809523808
Class hawksbill, MAP 0.9916666666666666
Class barrel, MAP 0.975177304964539
Class platypus, MAP 0.9852941176470589
Class flamingo_head, MAP 0.9703703703703703
Class camera, MAP 0.9933333333333333
Class crocodile_head, MAP 0.9771241830065358
Class gerenuk, MAP 0.9852941176470589
Class rhino, MAP 0.9830508474576272
Class airplanes, MAP 0.9989583333333333
Class cup, MAP 0.9941520467836257
Class elephant, MAP 0.9817708333333333
Class Motorbikes, MAP 0.9966583124477861
Class sunflower, MAP 0.9901960784313726
Class crocodile, MAP 0.9966666666666666
Class trilobite, MAP 0.9903100775193797
Class cougar_face, MAP 0.9903381642512077
Class ewer, MAP 0.9941176470588236
Class crab, MAP 0.9840182648401826
Class grand_piano, MAP 1.0
Class emu, MAP 0.9905660377358491
Class chair, MAP 0.9758064516129032
Class llama, MAP 0.9914529914529914
Class watch, MAP 0.9965132496513249
Class wild_cat, MAP 0.9852941176470589
Class saxophone, MAP 0.9791666666666666
Class ferry, MAP 0.9925373134328358
Class beaver, MAP 0.9782608695652174
Class dolphin, MAP 0.987179487179487
Class headphone, MAP 0.992063492063492
Class garfield, MAP 0.9901960784313725
Class lamp, MAP 0.9890710382513661
Class hedgehog, MAP 0.9814814814814815
Class schooner, MAP 0.9841269841269841
Class stop_sign, MAP 0.9947916666666666
Class buddha, MAP 0.992156862745098
Class panda, MAP 0.9912280701754386
Class pagoda, MAP 0.9787234042553191
Class laptop, MAP 1.0
Class Faces_easy, MAP 0.9739463601532566
Class umbrella, MAP 1.0
Class ant, MAP 0.9801587301587301
Class BACKGROUND_Google, MAP 0.9821556031406138
Class bass, MAP 0.9783950617283951
Class brontosaurus, MAP 0.9883720930232558
Class mandolin, MAP 0.9573643410852712
Class cougar_body, MAP 0.9716312056737588
Class accordion, MAP 0.9939393939393939
Class anchor, MAP 0.992063492063492
Class soccer_ball, MAP 0.9973958333333333
Class euphonium, MAP 0.9973958333333333
Class inline_skate, MAP 0.9946236559139785
Class chandelier, MAP 0.9781931464174455
Class water_lilly, MAP 0.972972972972973
Class sea_horse, MAP 0.9824561403508771
Class windsor_chair, MAP 0.994047619047619
Class Leopards, MAP 0.9991666666666665
Class scissors, MAP 0.9786324786324786
Class stegosaurus, MAP 0.9915254237288136
Class crayfish, MAP 0.9785714285714285
Class stapler, MAP 0.9925925925925926
Class strawberry, MAP 0.9904761904761904
Class metronome, MAP 1.0
Class ceiling_fan, MAP 0.9893617021276596
Class pyramid, MAP 0.9824561403508771
Class cellphone, MAP 0.9887005649717513
Class wheelchair, MAP 0.9915254237288136
Class menorah, MAP 0.9827586206896551
Class electric_guitar, MAP 0.9822222222222221
Class mayfly, MAP 0.9916666666666666
Class minaret, MAP 0.9868421052631579
Class kangaroo, MAP 0.9786821705426355
Class joshua_tree, MAP 0.9895833333333333
Class gramophone, MAP 0.9901960784313726
Class ibis, MAP 0.9791666666666666
Class nautilus, MAP 0.9939393939393939
Class lobster, MAP 0.9878048780487805
Class wrench, MAP 0.9957264957264956
Class dragonfly, MAP 0.9779411764705882
Class dalmatian, MAP 0.9776119402985075
Class bonsai, MAP 0.9830729166666666
Class pizza, MAP 0.9842767295597484
Class starfish, MAP 0.9825581395348837
Class butterfly, MAP 0.9798534798534797
Class binocular, MAP 0.9848484848484849
MMAP 0.9869189431375384
total time:151.1335s
