Vgg-Linear-cosine reusult: MAP&MMAP
Class scorpion, MAP 0.6765873015873016
Class kangaroo, MAP 0.8604651162790697
Class wheelchair, MAP 0.8135593220338984
Class dollar_bill, MAP 0.9326923076923078
Class accordion, MAP 0.9439393939393941
Class car_side, MAP 1.0
Class BACKGROUND_Google, MAP 0.6409707351891507
Class cannon, MAP 0.6162790697674417
Class saxophone, MAP 0.8041666666666666
Class platypus, MAP 0.5563725490196078
Class cougar_body, MAP 0.5762411347517731
Class lotus, MAP 0.7474747474747474
Class sea_horse, MAP 0.5350877192982455
Class strawberry, MAP 0.7619047619047619
Class buddha, MAP 0.8539215686274509
Class stop_sign, MAP 0.97265625
Class pagoda, MAP 0.9202127659574468
Class minaret, MAP 0.9791666666666665
Class Motorbikes, MAP 0.9962406015037594
Class bonsai, MAP 0.8776041666666666
Class rooster, MAP 0.8095238095238094
Class ketch, MAP 0.8545321637426899
Class crayfish, MAP 0.4714285714285714
Class stapler, MAP 0.7296296296296295
Class Faces, MAP 0.8160919540229885
Class panda, MAP 0.6184210526315789
Class hedgehog, MAP 0.8163580246913581
Class pizza, MAP 0.8553459119496856
Class brain, MAP 0.8469387755102041
Class chair, MAP 0.5766129032258065
Class umbrella, MAP 0.8322222222222222
Class starfish, MAP 0.7732558139534884
Class elephant, MAP 0.6861979166666666
Class dolphin, MAP 0.7525641025641027
Class lobster, MAP 0.30284552845528456
Class sunflower, MAP 0.9460784313725489
Class rhino, MAP 0.7005649717514123
Class cup, MAP 0.8596491228070176
Class scissors, MAP 0.8119658119658119
Class anchor, MAP 0.35317460317460314
Class pigeon, MAP 0.7407407407407406
Class butterfly, MAP 0.5238095238095238
Class airplanes, MAP 0.9919791666666665
Class gerenuk, MAP 0.7990196078431372
Class mayfly, MAP 0.7
Class crocodile, MAP 0.39666666666666667
Class mandolin, MAP 0.7325581395348837
Class emu, MAP 0.8050314465408804
Class Faces_easy, MAP 0.8883141762452107
Class nautilus, MAP 0.9424242424242424
Class flamingo_head, MAP 0.7722222222222223
Class crocodile_head, MAP 0.6127450980392156
Class schooner, MAP 0.8412698412698414
Class gramophone, MAP 0.75
Class brontosaurus, MAP 0.6046511627906976
Class windsor_chair, MAP 0.9702380952380951
Class water_lilly, MAP 0.5720720720720721
Class trilobite, MAP 0.9874031007751937
Class bass, MAP 0.7345679012345679
Class helicopter, MAP 0.6003787878787878
Class octopus, MAP 0.40476190476190477
Class revolver, MAP 0.8790650406504066
Class menorah, MAP 0.7557471264367817
Class flamingo, MAP 0.7997512437810945
Class camera, MAP 0.9583333333333333
Class soccer_ball, MAP 0.9309895833333333
Class okapi, MAP 0.767094017094017
Class ant, MAP 0.5297619047619048
Class laptop, MAP 0.9753086419753086
Class wild_cat, MAP 0.45588235294117646
Class llama, MAP 0.7702991452991454
Class lamp, MAP 0.6789617486338797
Class joshua_tree, MAP 0.91796875
Class yin_yang, MAP 0.8277777777777778
Class watch, MAP 0.9707112970711297
Class barrel, MAP 0.7056737588652482
Class binocular, MAP 0.8434343434343434
Class hawksbill, MAP 0.885
Class ceiling_fan, MAP 0.625886524822695
Class headphone, MAP 0.871031746031746
Class electric_guitar, MAP 0.73
Class dalmatian, MAP 0.8756218905472637
Class dragonfly, MAP 0.7132352941176472
Class ferry, MAP 0.9340796019900498
Class ewer, MAP 0.9225490196078431
Class chandelier, MAP 0.7951713395638629
Class ibis, MAP 0.7020833333333333
Class metronome, MAP 0.9010416666666666
Class stegosaurus, MAP 0.7824858757062146
Class garfield, MAP 0.7279411764705882
Class tick, MAP 0.8979591836734694
Class cougar_face, MAP 0.8393719806763285
Class grand_piano, MAP 0.98989898989899
Class snoopy, MAP 0.6785714285714286
Class crab, MAP 0.526255707762557
Class wrench, MAP 0.5705128205128204
Class Leopards, MAP 0.9966666666666666
Class cellphone, MAP 0.9392655367231638
Class inline_skate, MAP 0.911290322580645
Class euphonium, MAP 0.8971354166666666
Class beaver, MAP 0.5217391304347825
Class pyramid, MAP 0.7207602339181287
MMAP 0.7703148334843415
total time:5605.0337s
