Vgg19-simple-cosine result: MAP&MMAP
Class crocodile, MAP 0.4881253873771731
Class soccer_ball, MAP 0.939497302827381
Class llama, MAP 0.8595714705635342
Class dollar_bill, MAP 0.9072354921313255
Class lamp, MAP 0.6762096720898438
Class flamingo_head, MAP 0.7121943534615492
Class tick, MAP 0.8822085929988019
Class menorah, MAP 0.7414305913936456
Class binocular, MAP 0.8536052656191545
Class grand_piano, MAP 0.9937245184268994
Class Faces, MAP 0.93855400872567
Class brain, MAP 0.7696858562018911
Class airplanes, MAP 0.9949469088561351
Class Faces_easy, MAP 0.8819204423361511
Class umbrella, MAP 0.7910088939279416
Class pagoda, MAP 0.8736708124936341
Class stop_sign, MAP 0.9290320786879566
Class scissors, MAP 0.7025564188163395
Class pizza, MAP 0.8663111817053866
Class trilobite, MAP 0.9913338639719455
Class dragonfly, MAP 0.7982321794458523
Class anchor, MAP 0.5015320294784582
Class Motorbikes, MAP 0.995685154875094
Class strawberry, MAP 0.881931216931217
Class nautilus, MAP 0.9229320729975492
Class hawksbill, MAP 0.9193707955404383
Class car_side, MAP 1.0
Class hedgehog, MAP 0.8845817090553643
Class cellphone, MAP 0.92018927674648
Class Leopards, MAP 0.9977621567145377
Class gramophone, MAP 0.7827134310514328
Class cougar_face, MAP 0.9059076342560642
Class elephant, MAP 0.8028159938744016
Class laptop, MAP 0.9597350103736053
Class snoopy, MAP 0.6797014991181657
Class schooner, MAP 0.7984053997848404
Class rooster, MAP 0.7795626565062912
Class chair, MAP 0.5559635892887622
Class wild_cat, MAP 0.7908216017888637
Class cougar_body, MAP 0.7583970418348585
Class lotus, MAP 0.6520327185307345
Class dalmatian, MAP 0.980686032704956
Class BACKGROUND_Google, MAP 0.695285099645378
Class electric_guitar, MAP 0.7352583732258335
Class emu, MAP 0.8557500552631955
Class flamingo, MAP 0.812315301327828
Class minaret, MAP 0.9741112660951321
Class pigeon, MAP 0.8355464432686655
Class mayfly, MAP 0.607995630196523
Class lobster, MAP 0.6533639017937798
Class dolphin, MAP 0.8082789890885129
Class ferry, MAP 0.9462441430414068
Class panda, MAP 0.7988211600429647
Class bass, MAP 0.7552967500443251
Class okapi, MAP 0.8584111398595525
Class ketch, MAP 0.7704368947059005
Class beaver, MAP 0.6268792380076025
Class camera, MAP 0.9419115614764424
Class brontosaurus, MAP 0.49659745293466223
Class stegosaurus, MAP 0.7250702718312686
Class euphonium, MAP 0.9571155065035274
Class accordion, MAP 0.9844115760782427
Class pyramid, MAP 0.6476221251983574
Class yin_yang, MAP 0.8215675967918031
Class rhino, MAP 0.7659840511848178
Class gerenuk, MAP 0.8634761126672892
Class sea_horse, MAP 0.5270992765202248
Class platypus, MAP 0.5068227290916366
Class cannon, MAP 0.641565794060949
Class ewer, MAP 0.9194096434870244
Class chandelier, MAP 0.7540725817845311
Class metronome, MAP 0.8877697172619048
Class water_lilly, MAP 0.6121497092330426
Class crocodile_head, MAP 0.7229237435715027
Class cup, MAP 0.8288093027984423
Class wrench, MAP 0.521818997067013
Class revolver, MAP 0.9288722066288123
Class watch, MAP 0.949107482835068
Class inline_skate, MAP 0.9238511264720943
Class crayfish, MAP 0.566196469063816
Class wheelchair, MAP 0.9382783841722502
Class barrel, MAP 0.7016578717775526
Class joshua_tree, MAP 0.8705101376488095
Class mandolin, MAP 0.6842901564157101
Class helicopter, MAP 0.7710081505245195
Class starfish, MAP 0.7884787462573315
Class crab, MAP 0.5455942673873202
Class buddha, MAP 0.7791724059994368
Class sunflower, MAP 0.9268733882441864
Class ceiling_fan, MAP 0.6702808300231046
Class ibis, MAP 0.8750716706821617
Class bonsai, MAP 0.8460201202876985
Class stapler, MAP 0.7286444843369446
Class saxophone, MAP 0.8702364969135802
Class octopus, MAP 0.4278571428571428
Class windsor_chair, MAP 0.9675267980869596
Class scorpion, MAP 0.7556130997372493
Class ant, MAP 0.5615348039568561
Class kangaroo, MAP 0.9126202634369853
Class garfield, MAP 0.7421614015976762
Class headphone, MAP 0.8358373338312397
Class butterfly, MAP 0.5591729620216014
MMAP 0.7945925749985856
total time:2.7895s
